from,to,text,time_start,time_end,comment
CPL769,GCW-1,chaparral seven sixty nine is ah on the nineteen bridge,3.75,7.07,
GCW-1,CPL769,chaparral seven sixty nine ah straight ahead on taxiway nineteen monitor tower now,10.59,14.42,
CPL769,GCW-1,roger,14.65,14.96,
AAL960,GCW-1,and nine sixty is clear of the inside taxi to ah over the bridge,21.33,25.06,
GCW-1,AAL960,american nine sixty on the bridge ground one three four point zero five,25.25,28.50,
AAL960,GCW-1,american nine sixty,29.19,30.43,
GCW-1,CPL764,i'm sorry who is this,50.63,51.84,
CPL754,GCW-1,chaparral seven fifty four we've got kind of a mess up here,53.06,56.53,
GCW-1,CPL754,okay just ah give way to the company to your left he's going to pull aside and then use nineteen and ah you can expedite up to hotel use that over to eighteen on the bridge contact ground point ah six five when you do that,56.88,70.87,
CPL754,GCW-1,will do,70.98,71.62,
GCW-1,CPL769,chaparral seven sixty nine if you're on go ahead and pull up,74.12,76.14,
GCW-1,AAL344,american ah three forty four are you on,83.49,86.51,
AAL344,GCW-1,three forty four,86.56,87.27,
GCW-1,AAL344,american three forty four slow taxi to allow opposite direction jet stream that's the one at twelve o'clock there just turning ah east he's going to turn at hotel you turn behind him at hotel and use taxiway eighteen to approach the runway,87.58,99.50,
AAL344,GCW-1,hotel to eighteen three forty four,99.96,101.14,
AAL1199,GCW-1,ground american eleven ninety nine the nineteen bridge,102.01,104.34,
GCW-1,AAL1199,american eleven ninety nine regional ground follow the m d eighty,104.44,106.80,
AAL1199,GCW-1,we'll follow the m d eighty american eleven ninety nine,107.36,109.15,
AAL344,GCW-1,nineteen for three forty four,116.88,118.17,
GCW-1,AAL344,and american ah eleven ninety nine just stay on taxiway nineteen,118.53,122.00,
AAL1199,GCW-1,wilco on nineteen american eleven ninety nine,122.36,123.96,
ASA443,GCW-1,four forty three is on top of the nineteen bridge,125.08,127.15,
GCW-1,ASA443,it's that one just coming across the runway ah eighteen left there see him,151.89,155.19,
GCW-1,ASA443,all right ah you can go ahead and monitor the tower now and when he gets out of the way just stay ah pull all the way up and if that m d eighty is still sitting there pull to the center if he's gone stay on eighteen,156.42,164.63,
ASA443,GCW-1,roger,164.81,165.42,
AAL464,GCW-1,american four sixty four's gate's opening up we're holding short of ah thirty two,165.78,169.80,
GCW-1,AAL464,american four sixty four on the thirty two bridge contact ground one three four point zero five,170.11,174.52,
AAL464,GCW-1,wilco,174.70,175.25,
GCW-1,AAL464,thank you metro up there just use taxiway eighteen on the bridge contact ground point six five,175.50,180.52,
MTR932,GCW-1,okay we'll do er nine thirty two good day,180.75,182.50,
GCW-1,MTR932,thank you and asea ah three fifty one you up,182.69,186.09,
GCW-1,ASA351,all right just follow the company bandeiranti and stay on taxiway eighteen monitor the tower,187.19,192.04,
GCW-1,AAL242,american local two four two ah exit and hold of the ah hold short of runway one eight right,205.24,214.57,
AAL242,GCW-1,two four two hold short of one eight right,215.82,218.70,
N34WP,GCW-1,and ground three four whiskey papa is general aviation gate for taxi,219.02,222.41,
GCW-1,N34WP,citation three four whiskey pop ah hold short of the inner taxiway,224.59,228.48,
N34WP,GCW-1,roger hold short of the inner,229.10,230.18,
GCW-1,AAL684,american ah six eighty four and on the bridge contact ground one three four point zero five,236.83,241.62,
AAL684,GCW-1,three four oh five,241.92,242.97,
GCW-1,N34WP,citation three four whiskey pop taxi to runway one eight left via the outer taxiway that'll be taxiway foxtrot,250.67,257.17,
AAL242,GCW-1,regional ground american local two four two holding short one eight right on nineteen,362.65,368.13,
GCW-1,AAL242,american local two four two roger just continue holding short it should be a couple of minutes before i can get you across due to the weather and ah the arrivals,368.71,375.58,
AAL242,GCW-1,okay two four two holding short,376.14,378.38,
AAL281,GCW-1,american two eighty one heavy is clear of eighteen left,460.55,463.26,
GCW-1,AAL281,american two eighty one heavy outer thirty two bridge contact ground one three four point zero five,463.42,468.97,
AAL420,GCW-1,regional ground american four twenty nineteen bridge,475.35,477.80,
GCW-1,AAL420,american four twenty regional ground hotel and taxiway eighteen,478.11,482.35,
AAL420,GCW-1,american four twenty wilco,482.43,483.44,
GCW-1,AAL420,and american four twenty you can monitor the tower now,574.53,576.52,
AAL420,GCW-1,american four twenty,577.68,578.73,
